ticker,trade_date,open_price,high_price,low_price,close_price,adjusted_close,volume
AAPL,2020-12-25,1191.51,1204.69,1181.27,1197.04,1197.04,1623978
AAPL,2020-12-28,1191.75,1208.17,1187.43,1200.48,1200.48,1082337
AAPL,2020-12-29,1206.12,1217.67,1196.03,1214.14,1214.14,1733618
AAPL,2020-12-30,1211.76,1218.29,1202.82,1212.36,1212.36,3447411
AAPL,2020-12-31,1207.99,1213.18,1195.88,1202.97,1202.97,4140703
AAPL,2021-01-01,1199.36,1207.3,1187.87,1199.7,1199.7,3430179
AAPL,2021-01-04,1195.75,1207.15,1183.79,1185.34,1185.34,4233589
AAPL,2021-01-05,1183.03,1191.5,1166.42,1173.51,1173.51,1488152
AAPL,2021-01-06,1173.45,1184.23,1153.61,1162.53,1162.53,3650089
AAPL,2021-01-07,1160.34,1167.67,1150.66,1160.8,1160.8,4878338
AAPL,2021-01-08,1164.0,1184.86,1158.62,1174.23,1174.23,4687496
AAPL,2021-01-11,1169.4,1171.04,1154.06,1162.28,1162.28,2554709
AAPL,2021-01-12,1159.63,1172.17,1150.96,1167.25,1167.25,3170784
AAPL,2021-01-13,1163.06,1172.04,1161.76,1170.09,1170.09,4088979
AAPL,2021-01-14,1166.56,1176.29,1150.83,1155.03,1155.03,3916028
AAPL,2021-01-15,1158.16,1163.06,1138.01,1148.29,1148.29,4452413
AAPL,2021-01-18,1149.71,1151.52,1137.57,1145.82,1145.82,2300733
AAPL,2021-01-19,1148.45,1161.96,1141.85,1151.61,1151.61,1478376
AAPL,2021-01-20,1154.07,1167.11,1150.53,1160.09,1160.09,2975182
AAPL,2021-01-21,1160.35,1161.78,1148.21,1158.67,1158.67,1125716
AAPL,2021-01-22,1160.25,1166.72,1153.82,1155.94,1155.94,1997168
AAPL,2021-01-25,1154.91,1164.36,1144.16,1160.81,1160.81,2159005
AAPL,2021-01-26,1156.88,1176.47,1151.9,1166.82,1166.82,4485842
AAPL,2021-01-27,1170.36,1180.93,1157.04,1163.03,1163.03,4229760
AAPL,2021-01-28,1167.63,1169.96,1154.13,1163.38,1163.38,2708431
AAPL,2021-01-29,1167.08,1176.75,1160.78,1175.5,1175.5,2669644
AAPL,2021-02-01,1172.23,1176.97,1161.56,1163.32,1163.32,2292811
AAPL,2021-02-02,1163.54,1173.26,1162.08,1168.27,1168.27,4849789
AAPL,2021-02-03,1165.37,1169.69,1156.64,1165.3,1165.3,1147547
AAPL,2021-02-04,1166.58,1168.35,1157.84,1166.64,1166.64,4633063
AAPL,2021-02-05,1163.6,1169.89,1154.03,1155.34,1155.34,1968221
AAPL,2021-02-08,1157.33,1167.03,1153.34,1163.38,1163.38,2471132
AAPL,2021-02-09,1164.92,1174.83,1154.22,1168.03,1168.03,4341209
AAPL,2021-02-10,1165.94,1167.53,1153.21,1158.63,1158.63,3710257
AAPL,2021-02-11,1153.03,1156.81,1148.19,1153.31,1153.31,1697465
AAPL,2021-02-12,1155.51,1166.41,1142.79,1152.89,1152.89,2364265
AAPL,2021-02-15,1148.44,1168.49,1139.62,1158.19,1158.19,3639936
AAPL,2021-02-16,1161.86,1169.86,1152.78,1163.15,1163.15,1372411
AAPL,2021-02-17,1167.77,1185.0,1159.65,1177.12,1177.12,2396838
AAPL,2021-02-18,1179.78,1199.83,1176.26,1189.15,1189.15,3568126
AAPL,2021-02-19,1184.2,1194.97,1170.85,1176.19,1176.19,1036788
AAPL,2021-02-22,1171.5,1176.56,1161.48,1175.33,1175.33,3194935
AAPL,2021-02-23,1177.59,1184.73,1173.36,1181.17,1181.17,1948996
AAPL,2021-02-24,1179.11,1193.03,1176.33,1184.92,1184.92,3630451
AAPL,2021-02-25,1185.73,1190.84,1167.14,1176.09,1176.09,1975958
AAPL,2021-02-26,1181.66,1192.32,1174.04,1179.13,1179.13,4179245
AAPL,2021-03-01,1179.16,1187.39,1169.44,1180.97,1180.97,3889808
AAPL,2021-03-02,1178.38,1186.41,1157.36,1167.17,1167.17,4761834
AAPL,2021-03-03,1172.47,1187.32,1160.91,1182.2,1182.2,4713274
AAPL,2021-03-04,1181.35,1203.91,1178.61,1192.38,1192.38,2177795
AAPL,2021-03-05,1191.01,1203.99,1180.91,1199.37,1199.37,3227205
AAPL,2021-03-08,1204.6,1216.74,1193.61,1209.32,1209.32,3460028
AAPL,2021-03-09,1215.25,1222.14,1203.97,1206.5,1206.5,3963074
AAPL,2021-03-10,1208.88,1218.92,1199.99,1213.78,1213.78,4237444
AAPL,2021-03-11,1217.54,1237.79,1210.97,1226.48,1226.48,3006065
AAPL,2021-03-12,1230.14,1242.86,1226.65,1233.83,1233.83,4560021
AAPL,2021-03-15,1231.83,1234.1,1222.87,1228.76,1228.76,1143769
AAPL,2021-03-16,1228.34,1233.79,1222.59,1229.39,1229.39,1122000
AAPL,2021-03-17,1223.7,1236.82,1212.86,1231.59,1231.59,3088973
AAPL,2021-03-18,1234.92,1243.08,1216.57,1227.9,1227.9,1206726
AAPL,2021-03-19,1228.29,1237.57,1224.03,1229.28,1229.28,4903408
AAPL,2021-03-22,1229.48,1239.51,1215.87,1225.13,1225.13,2755885
AAPL,2021-03-23,1219.97,1231.76,1205.39,1208.39,1208.39,3783896
AAPL,2021-03-24,1207.29,1210.19,1190.1,1199.4,1199.4,3196906
AAPL,2021-03-25,1201.97,1210.07,1200.28,1205.82,1205.82,3951587
AAPL,2021-03-26,1206.48,1214.95,1197.1,1209.17,1209.17,2423890
AAPL,2021-03-29,1212.29,1214.77,1189.01,1200.52,1200.52,1162915
AAPL,2021-03-30,1204.78,1216.06,1193.8,1209.69,1209.69,2966463
AAPL,2021-03-31,1209.37,1215.3,1193.76,1201.47,1201.47,3463400
AAPL,2021-04-01,1203.09,1208.35,1186.94,1192.15,1192.15,3012545
AAPL,2021-04-02,1196.4,1203.16,1185.19,1200.2,1200.2,3569677
AAPL,2021-04-05,1194.51,1207.88,1188.75,1196.56,1196.56,2552679
AAPL,2021-04-06,1198.28,1205.36,1195.45,1197.28,1197.28,2544410
AAPL,2021-04-07,1202.8,1215.9,1191.52,1212.55,1212.55,1403112
AAPL,2021-04-08,1206.71,1215.33,1185.72,1196.92,1196.92,2275902
AAPL,2021-04-09,1201.05,1211.05,1180.72,1189.6,1189.6,1472659
AAPL,2021-04-12,1191.94,1205.64,1187.9,1195.01,1195.01,4213923
AAPL,2021-04-13,1192.41,1201.65,1181.47,1184.71,1184.71,4962020
AAPL,2021-04-14,1183.68,1193.13,1172.46,1180.65,1180.65,4723029
AAPL,2021-04-15,1184.88,1194.07,1179.4,1183.2,1183.2,1412495
AAPL,2021-04-16,1187.96,1198.11,1179.5,1188.08,1188.08,4582092
AAPL,2021-04-19,1186.77,1197.63,1164.37,1175.16,1175.16,2277254
AAPL,2021-04-20,1180.45,1198.42,1175.35,1191.09,1191.09,2793782
AAPL,2021-04-21,1188.62,1197.01,1180.72,1184.55,1184.55,4166316
AAPL,2021-04-22,1187.98,1194.45,1167.09,1178.27,1178.27,3198115
AAPL,2021-04-23,1177.58,1191.64,1167.04,1186.71,1186.71,1571966
AAPL,2021-04-26,1189.81,1194.9,1178.81,1192.63,1192.63,3803876
AAPL,2021-04-27,1187.53,1203.97,1176.52,1195.17,1195.17,1339350
AAPL,2021-04-28,1200.99,1206.2,1194.75,1197.97,1197.97,4788994
AAPL,2021-04-29,1203.79,1215.2,1192.66,1209.89,1209.89,4108587
AAPL,2021-04-30,1210.6,1221.69,1197.89,1208.77,1208.77,2970500
AAPL,2021-05-03,1202.86,1204.67,1191.37,1202.1,1202.1,1470104
AAPL,2021-05-04,1203.9,1217.38,1202.28,1209.82,1209.82,2499482
AAPL,2021-05-05,1207.23,1219.79,1205.62,1216.13,1216.13,1048617
AAPL,2021-05-06,1221.84,1232.87,1204.32,1210.68,1210.68,4971859
AAPL,2021-05-07,1205.52,1218.55,1199.14,1206.82,1206.82,3517594
AAPL,2021-05-10,1209.18,1217.22,1202.35,1208.08,1208.08,4604632
AAPL,2021-05-11,1202.59,1214.08,1194.94,1197.32,1197.32,2822627
AAPL,2021-05-12,1198.76,1201.99,1186.47,1193.42,1193.42,2413408
AAPL,2021-05-13,1194.42,1206.09,1183.0,1184.33,1184.33,3792646
AAPL,2021-05-14,1184.76,1194.62,1175.72,1180.25,1180.25,1650467
AAPL,2021-05-17,1185.1,1204.13,1180.99,1192.74,1192.74,3453660
AAPL,2021-05-18,1191.77,1212.65,1180.34,1202.08,1202.08,1105467
AAPL,2021-05-19,1200.6,1220.0,1190.22,1208.05,1208.05,3376522
AAPL,2021-05-20,1206.62,1228.4,1203.65,1217.96,1217.96,2874772
AAPL,2021-05-21,1216.92,1218.75,1208.72,1211.4,1211.4,4251604
AAPL,2021-05-24,1217.46,1236.93,1213.71,1229.55,1229.55,4779062
AAPL,2021-05-25,1233.85,1240.09,1216.76,1227.61,1227.61,4816204
AAPL,2021-05-26,1228.92,1237.58,1216.82,1222.25,1222.25,2432650
AAPL,2021-05-27,1217.52,1228.64,1213.81,1221.7,1221.7,3080654
AAPL,2021-05-28,1226.0,1234.7,1223.42,1227.28,1227.28,2613931
AAPL,2021-05-31,1222.79,1232.32,1205.91,1211.26,1211.26,3816319
AAPL,2021-06-01,1207.79,1209.15,1190.79,1199.0,1199.0,3359670
AAPL,2021-06-02,1197.71,1208.65,1188.0,1196.21,1196.21,3055957
AAPL,2021-06-03,1199.6,1207.52,1194.44,1197.12,1197.12,4798082
AAPL,2021-06-04,1192.9,1209.61,1183.74,1203.08,1203.08,2836543
AAPL,2021-06-07,1208.85,1213.64,1203.48,1208.67,1208.67,1960582
AAPL,2021-06-08,1203.55,1206.14,1184.3,1194.61,1194.61,1555308
AAPL,2021-06-09,1196.3,1201.21,1186.39,1188.68,1188.68,2895846
AAPL,2021-06-10,1190.68,1193.93,1171.48,1182.87,1182.87,1675740
AAPL,2021-06-11,1180.25,1182.38,1162.18,1172.63,1172.63,2843115
AAPL,2021-06-14,1169.19,1175.65,1161.6,1166.01,1166.01,1157248
AAPL,2021-06-15,1169.5,1174.53,1167.0,1172.49,1172.49,4683489
AAPL,2021-06-16,1167.35,1176.99,1158.34,1162.14,1162.14,1738084
AAPL,2021-06-17,1158.76,1164.97,1150.63,1155.76,1155.76,2475654
AAPL,2021-06-18,1155.33,1162.59,1146.4,1161.04,1161.04,3853398
AAPL,2021-06-21,1165.63,1172.65,1155.1,1165.91,1165.91,2789649
AAPL,2021-06-22,1166.29,1170.28,1152.62,1160.28,1160.28,1080284
AAPL,2021-06-23,1158.21,1162.79,1141.26,1151.53,1151.53,4562109
AAPL,2021-06-24,1152.61,1166.11,1146.25,1156.74,1156.74,1347681
AAPL,2021-06-25,1157.17,1168.11,1150.09,1159.18,1159.18,1510321
AAPL,2021-06-28,1156.67,1164.55,1147.89,1153.5,1153.5,2424386
AAPL,2021-06-29,1159.11,1165.21,1148.58,1161.57,1161.57,1611436
AAPL,2021-06-30,1158.61,1161.72,1142.2,1150.75,1150.75,1693494
AAPL,2021-07-01,1155.32,1161.93,1138.39,1145.62,1145.62,4929514
AAPL,2021-07-02,1141.17,1152.27,1136.33,1138.84,1138.84,4268288
AAPL,2021-07-05,1136.09,1144.06,1126.76,1128.61,1128.61,3227051
AAPL,2021-07-06,1129.42,1138.37,1115.09,1124.45,1124.45,2294716
AAPL,2021-07-07,1123.61,1127.35,1113.53,1123.78,1123.78,3442480
AAPL,2021-07-08,1121.4,1125.91,1115.05,1123.23,1123.23,3130357
AAPL,2021-07-09,1118.19,1120.66,1104.03,1114.54,1114.54,4959840
AAPL,2021-07-12,1112.56,1123.14,1108.26,1119.45,1119.45,4040911
AAPL,2021-07-13,1120.52,1125.8,1112.2,1119.89,1119.89,4718116
AAPL,2021-07-14,1123.59,1136.44,1119.74,1134.04,1134.04,4753361
AAPL,2021-07-15,1130.42,1139.09,1115.21,1120.62,1120.62,4367315
AAPL,2021-07-16,1116.59,1126.34,1107.06,1123.18,1123.18,1657063
AAPL,2021-07-19,1126.71,1136.89,1119.08,1130.44,1130.44,4508802
AAPL,2021-07-20,1129.22,1142.0,1121.76,1136.37,1136.37,2850719
AAPL,2021-07-21,1134.11,1146.03,1125.14,1139.73,1139.73,4598298
AAPL,2021-07-22,1138.41,1149.83,1133.42,1139.4,1139.4,1467592
AAPL,2021-07-23,1144.41,1151.94,1134.4,1147.33,1147.33,4176100
AAPL,2021-07-26,1148.71,1159.88,1145.38,1149.48,1149.48,1606699
AAPL,2021-07-27,1147.31,1156.14,1130.47,1141.54,1141.54,3279558
AAPL,2021-07-28,1144.54,1157.87,1141.55,1153.16,1153.16,1442526
AAPL,2021-07-29,1157.16,1162.45,1145.29,1148.54,1148.54,1599669
AAPL,2021-07-30,1145.43,1159.13,1140.58,1150.52,1150.52,3775793
AAPL,2021-08-02,1151.01,1155.74,1135.72,1145.3,1145.3,4633802
AAPL,2021-08-03,1146.25,1152.16,1142.29,1143.98,1143.98,1613405
AAPL,2021-08-04,1144.97,1152.55,1133.7,1145.1,1145.1,4488495
AAPL,2021-08-05,1150.05,1159.92,1148.1,1151.55,1151.55,3828954
AAPL,2021-08-06,1147.55,1156.72,1140.45,1149.3,1149.3,3945776
AAPL,2021-08-09,1154.29,1170.0,1143.92,1164.11,1164.11,4939364
AAPL,2021-08-10,1168.06,1178.91,1156.77,1159.29,1159.29,3075352
AAPL,2021-08-11,1160.35,1162.08,1149.92,1158.0,1158.0,4211413
AAPL,2021-08-12,1152.27,1157.55,1142.5,1148.43,1148.43,4679422
AAPL,2021-08-13,1146.67,1155.42,1136.38,1143.16,1143.16,1898419
AAPL,2021-08-16,1142.61,1145.57,1128.15,1134.41,1134.41,2675701
AAPL,2021-08-17,1139.11,1146.2,1131.08,1135.98,1135.98,1052377
AAPL,2021-08-18,1137.83,1148.81,1120.72,1130.51,1130.51,2658496
AAPL,2021-08-19,1125.82,1143.28,1120.59,1137.01,1137.01,1268305
AAPL,2021-08-20,1139.85,1150.2,1124.0,1133.24,1133.24,1762750
AAPL,2021-08-23,1127.98,1134.85,1116.75,1127.35,1127.35,4102110
AAPL,2021-08-24,1126.83,1132.98,1119.62,1127.38,1127.38,3238561
AAPL,2021-08-25,1123.49,1133.33,1114.69,1116.34,1116.34,2493237
AAPL,2021-08-26,1113.78,1122.22,1102.9,1116.99,1116.99,1624610
AAPL,2021-08-27,1119.4,1124.36,1110.45,1122.96,1122.96,1924299
AAPL,2021-08-30,1124.89,1127.07,1110.97,1114.09,1114.09,1714178
AAPL,2021-08-31,1115.79,1117.9,1101.28,1109.95,1109.95,3889067
AAPL,2021-09-01,1113.89,1126.38,1109.45,1121.25,1121.25,1819937
AAPL,2021-09-02,1118.93,1129.06,1108.6,1127.8,1127.8,1831545
AAPL,2021-09-03,1122.46,1129.47,1108.39,1115.31,1115.31,4570686
AAPL,2021-09-06,1118.85,1122.58,1107.97,1115.31,1115.31,3361179
AAPL,2021-09-07,1112.72,1120.71,1107.13,1115.49,1115.49,2744506
AAPL,2021-09-08,1113.19,1132.02,1103.47,1123.18,1123.18,4473871
AAPL,2021-09-09,1123.04,1141.18,1116.1,1131.9,1131.9,1089877
AAPL,2021-09-10,1129.28,1137.8,1120.61,1130.22,1130.22,1557424
AAPL,2021-09-13,1134.01,1151.56,1124.42,1144.99,1144.99,2089229
AAPL,2021-09-14,1139.48,1151.29,1134.0,1148.92,1148.92,2096220
AAPL,2021-09-15,1149.54,1162.79,1140.18,1153.02,1153.02,1043983
AAPL,2021-09-16,1148.84,1168.29,1143.53,1158.03,1158.03,3402067
AAPL,2021-09-17,1159.94,1170.65,1145.23,1152.41,1152.41,2532554
AAPL,2021-09-20,1152.63,1155.5,1138.35,1142.18,1142.18,1331194
AAPL,2021-09-21,1143.36,1148.51,1129.12,1137.54,1137.54,2422690
AAPL,2021-09-22,1140.03,1146.98,1128.91,1135.4,1135.4,3654684
AAPL,2021-09-23,1140.36,1149.03,1129.28,1145.67,1145.67,2049056
AAPL,2021-09-24,1146.76,1153.03,1131.21,1136.47,1136.47,2336975
AAPL,2021-09-27,1139.55,1141.46,1126.69,1130.58,1130.58,2981965
AAPL,2021-09-28,1132.71,1136.36,1128.26,1131.24,1131.24,4197663
AAPL,2021-09-29,1133.44,1140.59,1120.66,1128.27,1128.27,1366328
AAPL,2021-09-30,1132.98,1143.8,1118.02,1124.75,1124.75,1740531
AAPL,2021-10-01,1125.22,1142.22,1122.14,1133.62,1133.62,3635133
AAPL,2021-10-04,1135.8,1147.44,1129.44,1143.73,1143.73,1884837
AAPL,2021-10-05,1149.31,1161.08,1145.11,1159.51,1159.51,4700993
AAPL,2021-10-06,1155.81,1168.07,1144.6,1157.38,1157.38,3789681
AAPL,2021-10-07,1155.03,1176.18,1153.3,1164.84,1164.84,2896856
AAPL,2021-10-08,1169.06,1181.67,1166.09,1177.11,1177.11,1148030
AAPL,2021-10-11,1178.24,1180.7,1160.97,1171.88,1171.88,3785155
AAPL,2021-10-12,1170.01,1177.13,1161.63,1175.27,1175.27,3157965
AAPL,2021-10-13,1178.68,1186.5,1172.03,1174.41,1174.41,3463452
AAPL,2021-10-14,1171.27,1181.62,1148.75,1160.13,1160.13,4498806
AAPL,2021-10-15,1160.47,1180.24,1159.29,1170.66,1170.66,2402847
AAPL,2021-10-18,1173.79,1180.03,1166.38,1171.48,1171.48,4494708
AAPL,2021-10-19,1177.15,1189.1,1169.85,1183.47,1183.47,3950329
AAPL,2021-10-20,1180.38,1185.33,1162.5,1171.18,1171.18,2185232
AAPL,2021-10-21,1168.06,1169.42,1156.08,1157.37,1157.37,2711092
AAPL,2021-10-22,1156.03,1163.62,1154.35,1160.18,1160.18,4145380
AAPL,2021-10-25,1155.42,1165.71,1151.79,1153.51,1153.51,2869606
AAPL,2021-10-26,1154.82,1166.28,1138.05,1147.13,1147.13,4770927
AAPL,2021-10-27,1148.85,1157.79,1139.74,1151.32,1151.32,1706112
AAPL,2021-10-28,1148.1,1157.31,1133.09,1140.9,1140.9,1231370
AAPL,2021-10-29,1146.26,1165.85,1145.06,1155.06,1155.06,1695580
AAPL,2021-11-01,1153.86,1168.24,1143.92,1159.82,1159.82,4263332
AAPL,2021-11-02,1156.62,1163.37,1144.87,1150.23,1150.23,3320344
AAPL,2021-11-03,1145.53,1158.09,1135.41,1154.18,1154.18,4554992
AAPL,2021-11-04,1159.44,1177.51,1154.68,1167.84,1167.84,3203429
AAPL,2021-11-05,1163.01,1168.08,1151.99,1160.88,1160.88,3893680
AAPL,2021-11-08,1160.84,1164.3,1146.68,1151.11,1151.11,1304523
AAPL,2021-11-09,1155.15,1161.3,1149.65,1155.04,1155.04,4298723
AAPL,2021-11-10,1153.28,1164.44,1144.52,1157.39,1157.39,4514519
AAPL,2021-11-11,1160.83,1174.59,1158.28,1164.51,1164.51,3833451
AAPL,2021-11-12,1168.43,1181.4,1163.25,1173.05,1173.05,4010866
AAPL,2021-11-15,1169.04,1188.37,1157.66,1177.95,1177.95,4303267
AAPL,2021-11-16,1173.58,1182.6,1159.7,1169.71,1169.71,4271868
AAPL,2021-11-17,1173.59,1175.01,1164.89,1173.77,1173.77,3467707
AAPL,2021-11-18,1179.42,1186.47,1174.35,1182.52,1182.52,3159941
AAPL,2021-11-19,1185.83,1195.14,1170.48,1176.51,1176.51,4851968
AAPL,2021-11-22,1174.65,1188.83,1163.99,1177.77,1177.77,4748913
AAPL,2021-11-23,1179.98,1184.36,1165.54,1169.78,1169.78,1269402
AAPL,2021-11-24,1170.74,1178.46,1155.94,1167.13,1167.13,4486147
AAPL,2021-11-25,1172.66,1192.83,1162.31,1183.66,1183.66,4033052
AAPL,2021-11-26,1178.03,1182.64,1160.23,1166.77,1166.77,4081629
AAPL,2021-11-29,1168.91,1172.96,1166.45,1167.65,1167.65,2704725
AAPL,2021-11-30,1167.08,1176.59,1154.87,1159.23,1159.23,1883078
AAPL,2021-12-01,1154.38,1166.54,1145.68,1158.55,1158.55,4803454
AAPL,2021-12-02,1154.51,1165.47,1145.77,1152.95,1152.95,3554103
AAPL,2021-12-03,1151.77,1163.12,1139.32,1146.57,1146.57,4576396
AAPL,2021-12-06,1143.47,1144.93,1132.21,1136.91,1136.91,2474105
AAPL,2021-12-07,1141.05,1152.13,1130.94,1140.44,1140.44,4474492
AAPL,2021-12-08,1143.59,1159.68,1139.99,1149.79,1149.79,3504881
AAPL,2021-12-09,1145.55,1156.19,1129.79,1134.84,1134.84,4186149
AAPL,2021-12-10,1134.63,1137.04,1121.63,1125.95,1125.95,2721223
AAPL,2021-12-13,1122.57,1124.35,1117.04,1122.39,1122.39,2075973
AAPL,2021-12-14,1125.72,1131.46,1110.36,1121.46,1121.46,1289787
AAPL,2021-12-15,1120.25,1127.42,1111.54,1119.8,1119.8,3779927
AAPL,2021-12-16,1123.83,1131.66,1117.45,1130.12,1130.12,1419720
AAPL,2021-12-17,1127.21,1140.78,1121.0,1138.18,1138.18,3472622
AAPL,2021-12-20,1140.48,1143.09,1132.43,1141.84,1141.84,3070846
AAPL,2021-12-21,1137.14,1138.62,1123.21,1133.74,1133.74,2587693
AAPL,2021-12-22,1129.58,1139.25,1126.42,1131.1,1131.1,1800600
AAPL,2021-12-23,1127.34,1134.93,1114.35,1118.43,1118.43,1126344
AAPL,2021-12-24,1123.3,1129.9,1109.21,1113.24,1113.24,4483876
AAPL,2021-12-27,1115.62,1126.91,1112.65,1122.35,1122.35,1320459
