trade_id,trader_id,ticker,trade_date,trade_time,side,quantity,price,trade_value
T00000001,TRD0001,AAPL,2023-09-19,2023-09-19 11:02:00,SELL,36,1852.7,66697.38
T00000002,TRD0001,TSLA,2023-06-16,2023-06-16 14:46:00,BUY,138,565.74,78072.69
T00000003,TRD0001,RELIANCE,2023-03-01,2023-03-01 09:30:00,BUY,30,1872.06,56161.72
T00000004,TRD0001,MSFT,2023-09-07,2023-09-07 09:38:00,SELL,157,4892.49,768120.82
T00000005,TRD0001,AAPL,2023-10-02,2023-10-02 09:41:00,SELL,156,1886.43,294282.39
T00000006,TRD0001,RELIANCE,2025-11-03,2025-11-03 13:05:00,SELL,104,2561.41,266386.44
T00000007,TRD0001,AMZN,2021-11-30,2021-11-30 10:27:00,SELL,134,645.42,86486.64
T00000008,TRD0001,GOOGL,2024-07-08,2024-07-08 09:39:00,BUY,85,1115.53,94819.99
T00000009,TRD0001,MSFT,2022-11-25,2022-11-25 10:39:00,BUY,88,3408.28,299928.39
T00000010,TRD0001,AMZN,2023-02-27,2023-02-27 10:02:00,BUY,149,534.65,79662.73
T00000011,TRD0001,MSFT,2022-07-18,2022-07-18 13:30:00,BUY,61,2392.4,145936.55
T00000012,TRD0001,RELIANCE,2023-05-18,2023-05-18 14:41:00,SELL,91,1816.43,165294.7
T00000013,TRD0001,RELIANCE,2024-09-05,2024-09-05 14:41:00,SELL,28,2431.67,68086.71
T00000014,TRD0001,RELIANCE,2025-01-15,2025-01-15 11:02:00,SELL,179,1895.16,339233.25
T00000015,TRD0001,TSLA,2024-08-07,2024-08-07 11:05:00,BUY,169,831.86,140585.01
T00000016,TRD0001,HDFCBANK,2025-04-23,2025-04-23 10:27:00,SELL,106,3258.65,345416.78
T00000017,TRD0001,AAPL,2025-10-27,2025-10-27 09:28:00,SELL,62,3279.12,203305.61
T00000018,TRD0001,HDFCBANK,2025-04-14,2025-04-14 14:13:00,SELL,34,3273.46,111297.8
T00000019,TRD0001,AMZN,2023-04-03,2023-04-03 09:07:00,BUY,131,536.07,70224.95
T00000020,TRD0001,AAPL,2025-03-20,2025-03-20 09:38:00,SELL,142,2749.98,390496.77
T00000021,TRD0001,HDFCBANK,2025-03-28,2025-03-28 11:23:00,SELL,194,3029.75,587770.71
T00000022,TRD0001,GOOGL,2021-03-16,2021-03-16 12:20:00,BUY,193,534.76,103209.64
T00000023,TRD0001,GOOGL,2024-01-30,2024-01-30 09:42:00,BUY,112,1027.2,115046.11
T00000024,TRD0001,HDFCBANK,2023-01-17,2023-01-17 12:54:00,SELL,165,1543.84,254733.58
T00000025,TRD0001,AMZN,2021-06-21,2021-06-21 12:16:00,SELL,52,680.72,35397.41
T00000026,TRD0001,AAPL,2024-02-07,2024-02-07 13:56:00,SELL,96,2120.21,203540.33
T00000027,TRD0001,TSLA,2024-04-30,2024-04-30 12:10:00,BUY,181,705.62,127716.49
T00000028,TRD0001,MSFT,2022-11-03,2022-11-03 12:19:00,BUY,187,3550.71,663983.59
T00000029,TRD0001,TSLA,2025-01-24,2025-01-24 12:54:00,SELL,29,921.13,26712.67
T00000030,TRD0001,RELIANCE,2023-12-21,2023-12-21 11:37:00,SELL,87,1696.5,147595.27
T00000031,TRD0001,TSLA,2024-01-10,2024-01-10 13:07:00,SELL,44,577.91,25427.92
T00000032,TRD0001,MSFT,2021-12-16,2021-12-16 12:29:00,BUY,152,1704.92,259147.31
T00000033,TRD0001,AMZN,2021-03-17,2021-03-17 09:33:00,SELL,177,742.56,131433.96
